Date,Problem Name,Pattern,Difficulty,LeetCode Link,Interview Frequency,Time Taken (min),First Attempt,Solution Approach,Time Complexity,Space Complexity,Review Date 1,Review Date 2,Confidence (1-10),Notes
,Two Sum,Arrays & Hashing,Easy,https://leetcode.com/problems/two-sum/,★★★★★,,,,,,,,,"HashMap for O(1) lookup - FAANG favorite"
,Contains Duplicate,Arrays & Hashing,Easy,https://leetcode.com/problems/contains-duplicate/,★★★★☆,,,,,,,,,"Set for duplicate detection"
,Valid Anagram,Arrays & Hashing,Easy,https://leetcode.com/problems/valid-anagram/,★★★★☆,,,,,,,,,"Sort or character frequency count"
,Group Anagrams,Arrays & Hashing,Medium,https://leetcode.com/problems/group-anagrams/,★★★★★,,,,,,,,,"HashMap with sorted string keys"
,Top K Frequent Elements,Arrays & Hashing,Medium,https://leetcode.com/problems/top-k-frequent-elements/,★★★★★,,,,,,,,,"Heap or bucket sort approach"
,Product of Array Except Self,Arrays & Hashing,Medium,https://leetcode.com/problems/product-of-array-except-self/,★★★★★,,,,,,,,,"Left/right pass technique"
,Valid Sudoku,Arrays & Hashing,Medium,https://leetcode.com/problems/valid-sudoku/,★★★☆☆,,,,,,,,,"Set for each row/col/box"
,Longest Consecutive Sequence,Arrays & Hashing,Medium,https://leetcode.com/problems/longest-consecutive-sequence/,★★★★☆,,,,,,,,,"Set for O(n) solution"
,3Sum,Arrays & Hashing,Medium,https://leetcode.com/problems/3sum/,★★★★★,,,,,,,,,"Sort + two pointers"
,4Sum,Arrays & Hashing,Medium,https://leetcode.com/problems/4sum/,★★★☆☆,,,,,,,,,"Extension of 3Sum"
,Valid Palindrome,Two Pointers,Easy,https://leetcode.com/problems/valid-palindrome/,★★★★☆,,,,,,,,,"Clean string then check palindrome"
,Two Sum II,Two Pointers,Easy,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,★★★★☆,,,,,,,,,"Exploit sorted array property"
,3Sum,Two Pointers,Medium,https://leetcode.com/problems/3sum/,★★★★★,,,,,,,,,"Sort + fix one element + two pointers"
,Container With Most Water,Two Pointers,Medium,https://leetcode.com/problems/container-with-most-water/,★★★★★,,,,,,,,,"Move pointer with smaller height"
,Remove Duplicates from Sorted Array,Two Pointers,Easy,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,★★★☆☆,,,,,,,,,"Slow/fast pointer technique"
,Move Zeroes,Two Pointers,Easy,https://leetcode.com/problems/move-zeroes/,★★★☆☆,,,,,,,,,"Two pointers for in-place swap"
,Trapping Rain Water,Two Pointers,Hard,https://leetcode.com/problems/trapping-rain-water/,★★★★★,,,,,,,,,"Left/right max approach"
,3Sum Closest,Two Pointers,Medium,https://leetcode.com/problems/3sum-closest/,★★★☆☆,,,,,,,,,"Similar to 3Sum with distance tracking"
,Sort Colors,Two Pointers,Medium,https://leetcode.com/problems/sort-colors/,★★★★☆,,,,,,,,,"Dutch flag algorithm"
,4Sum,Two Pointers,Medium,https://leetcode.com/problems/4sum/,★★★☆☆,,,,,,,,,"Nested two pointers"
,Best Time to Buy and Sell Stock,Sliding Window,Easy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,★★★★★,,,,,,,,,"Track min price and max profit"
,Maximum Subarray,Sliding Window,Easy,https://leetcode.com/problems/maximum-subarray/,★★★★★,,,,,,,,,"Kadane's algorithm"
,Longest Substring Without Repeating Characters,Sliding Window,Medium,https://leetcode.com/problems/longest-substring-without-repeating-characters/,★★★★★,,,,,,,,,"HashMap + sliding window"
,Longest Repeating Character Replacement,Sliding Window,Medium,https://leetcode.com/problems/longest-repeating-character-replacement/,★★★★☆,,,,,,,,,"Frequency count + window validation"
,Permutation in String,Sliding Window,Medium,https://leetcode.com/problems/permutation-in-string/,★★★☆☆,,,,,,,,,"Character frequency matching"
,Minimum Window Substring,Sliding Window,Hard,https://leetcode.com/problems/minimum-window-substring/,★★★★★,,,,,,,,,"Most complex sliding window problem"
,Sliding Window Maximum,Sliding Window,Hard,https://leetcode.com/problems/sliding-window-maximum/,★★★★☆,,,,,,,,,"Deque for max in window"
,Find All Anagrams in a String,Sliding Window,Medium,https://leetcode.com/problems/find-all-anagrams-in-a-string/,★★★☆☆,,,,,,,,,"Fixed window anagram detection"
,Fruit Into Baskets,Sliding Window,Medium,https://leetcode.com/problems/fruit-into-baskets/,★★★☆☆,,,,,,,,,"At most 2 distinct elements"
,Substring with Concatenation of All Words,Sliding Window,Hard,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,★★☆☆☆,,,,,,,,,"Complex pattern matching"
,Valid Parentheses,Stack,Easy,https://leetcode.com/problems/valid-parentheses/,★★★★★,,,,,,,,,"Stack for matching brackets"
,Min Stack,Stack,Easy,https://leetcode.com/problems/min-stack/,★★★★☆,,,,,,,,,"Auxiliary stack for minimum"
,Evaluate Reverse Polish Notation,Stack,Medium,https://leetcode.com/problems/evaluate-reverse-polish-notation/,★★★☆☆,,,,,,,,,"Stack for postfix evaluation"
,Generate Parentheses,Stack,Medium,https://leetcode.com/problems/generate-parentheses/,★★★★☆,,,,,,,,,"Backtracking with stack validation"
,Daily Temperatures,Stack,Medium,https://leetcode.com/problems/daily-temperatures/,★★★★☆,,,,,,,,,"Monotonic stack for next greater"
,Car Fleet,Stack,Medium,https://leetcode.com/problems/car-fleet/,★★★☆☆,,,,,,,,,"Stack for time calculation"
,Largest Rectangle in Histogram,Stack,Hard,https://leetcode.com/problems/largest-rectangle-in-histogram/,★★★★★,,,,,,,,,"Monotonic stack classic"
,Valid Parentheses String,Stack,Medium,https://leetcode.com/problems/valid-parentheses-string/,★★★☆☆,,,,,,,,,"Balance tracking with wildcards"
,Decode String,Stack,Medium,https://leetcode.com/problems/decode-string/,★★★★☆,,,,,,,,,"Stack for nested patterns"
,Basic Calculator,Stack,Hard,https://leetcode.com/problems/basic-calculator/,★★★☆☆,,,,,,,,,"Expression evaluation"
,Binary Search,Binary Search,Easy,https://leetcode.com/problems/binary-search/,★★★★★,,,,,,,,,"Classic binary search template"
,Search Insert Position,Binary Search,Easy,https://leetcode.com/problems/search-insert-position/,★★★★☆,,,,,,,,,"Find insertion point"
,Find First and Last Position,Binary Search,Medium,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,★★★★★,,,,,,,,,"Binary search variants"
,Search in Rotated Sorted Array,Binary Search,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array/,★★★★★,,,,,,,,,"Modified binary search"
,Find Minimum in Rotated Sorted Array,Binary Search,Medium,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,★★★★★,,,,,,,,,"Find pivot point"
,Time Based Key-Value Store,Binary Search,Medium,https://leetcode.com/problems/time-based-key-value-store/,★★★☆☆,,,,,,,,,"Binary search on timestamps"
,Median of Two Sorted Arrays,Binary Search,Hard,https://leetcode.com/problems/median-of-two-sorted-arrays/,★★★★★,,,,,,,,,"Advanced binary search"
,Search a 2D Matrix,Binary Search,Medium,https://leetcode.com/problems/search-a-2d-matrix/,★★★★☆,,,,,,,,,"Treat 2D as 1D array"
,Koko Eating Bananas,Binary Search,Medium,https://leetcode.com/problems/koko-eating-bananas/,★★★☆☆,,,,,,,,,"Binary search on answer"
,Find Peak Element,Binary Search,Medium,https://leetcode.com/problems/find-peak-element/,★★★☆☆,,,,,,,,,"Binary search variation"
,Reverse Linked List,Linked List,Easy,https://leetcode.com/problems/reverse-linked-list/,★★★★★,,,,,,,,,"Iterative and recursive approaches"
,Merge Two Sorted Lists,Linked List,Easy,https://leetcode.com/problems/merge-two-sorted-lists/,★★★★★,,,,,,,,,"Two pointer merge technique"
,Linked List Cycle,Linked List,Easy,https://leetcode.com/problems/linked-list-cycle/,★★★★★,,,,,,,,,"Floyd's cycle detection"
,Remove Nth Node From End,Linked List,Medium,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,★★★★☆,,,,,,,,,"Two pointer with gap"
,Reorder List,Linked List,Medium,https://leetcode.com/problems/reorder-list/,★★★★☆,,,,,,,,,"Find middle + reverse + merge"
,Add Two Numbers,Linked List,Medium,https://leetcode.com/problems/add-two-numbers/,★★★★★,,,,,,,,,"Digit by digit addition"
,Copy List with Random Pointer,Linked List,Medium,https://leetcode.com/problems/copy-list-with-random-pointer/,★★★★☆,,,,,,,,,"HashMap for node mapping"
,Find Duplicate Number,Linked List,Medium,https://leetcode.com/problems/find-the-duplicate-number/,★★★★☆,,,,,,,,,"Floyd's algorithm on array"
,LRU Cache,Linked List,Medium,https://leetcode.com/problems/lru-cache/,★★★★★,,,,,,,,,"HashMap + doubly linked list"
,Merge k Sorted Lists,Linked List,Hard,https://leetcode.com/problems/merge-k-sorted-lists/,★★★★★,,,,,,,,,"Divide and conquer or heap"
,Invert Binary Tree,Trees,Easy,https://leetcode.com/problems/invert-binary-tree/,★★★★★,,,,,,,,,"Swap left and right subtrees"
,Maximum Depth of Binary Tree,Trees,Easy,https://leetcode.com/problems/maximum-depth-of-binary-tree/,★★★★★,,,,,,,,,"DFS recursive approach"
